"Paises","GDP","PCs"
"Afghanistan",1261.35,4.58
"Algeria",6354.64,14
"Andorra",31630.74,81
"Antigua and Barbuda",13508.8,82
"Argentina",15595.39,47.7
"Australia",35253.94,78.95
"Austria",36637.25,79.75
"Bahamas",21129.19,65
"Bahrain",24036.73,77
"Bangladesh",1708.3,5
"Barbados",16274,71.77
"Belarus",13248.85,39.96
"Belgium",32929.85,76.2
"Benin",1448.86,3.5
"Bermuda",70979.13,88.85
"Bhutan",5627.01,21
"Bolivia",4224.95,30
"Botswana",13689.43,7
"Brazil",10383.07,45
"Brunei",45764.67,56
"Bulgaria",11464.12,50.8
"Burkina Faso",1291.74,3
"Burundi",476.63,1.11
"Cambodia",1970.34,3.1
"Cameroon",2049.28,5
"Canada",35741.47,82.68
"Cape Verde",3787.64,32
"Cayman Islands",43343.76,69.47
"Central African Rep.",707.14,2.2
"Chad",1726.14,1.9
"Chile",14735.14,53.89
"China",8857.84,38.4
"Colombia",7817.96,40.4
"Comoros",1023.9,5.5
"Congo, Dem. Rep.",387.71,1.2
"Congo, Rep.",4069.65,5.6
"Costa Rica",10427.31,42.12
"Cote d'Ivoire",1398.66,2.2
"Croatia",13658.89,70.53
"Cuba",9890.8,23.23
"Cyprus",23934.47,57.68
"Czech Rep.",22902.27,72.89
"Denmark",33036.77,89.98
"Djibouti",2200.91,7
"Dominica",10187.17,51.31
"Dominican Rep.",6839.01,35.5
"Ecuador",7641.52,31.4
"Egypt",6037.19,35.62
"El Salvador",5765.7,17.69
"Eritrea",591.22,6.2
"Estonia",18261.74,76.53
"Ethiopia",917.48,1.1
"Fiji",4130.12,28
"Finland",31762.32,89.33
"France",30039.08,76.77
"French Polynesia",26703.01,49
"Gabon",13234.18,8
"Gambia",739.13,10.87
"Georgia",4668.97,35.28
"Germany",33895.82,83.44
"Ghana",1657.07,14.11
"Greece",23112.04,53.4
"Greenland",39867.87,64.62
"Guatemala",5265.07,11.73
"Guinea",952.28,1.3
"Guinea-Bissau",614.42,2.67
"Guyana",4139.26,32
"Honduras",3572.64,15.9
"Hong Kong, China",43600.46,75.03
"Hungary",17311.78,58.97
"Iceland",33929.33,96.62
"India",3147.19,10.07
"Indonesia",4181.78,18
"Iran",12722.3,21
"Iraq",3959.37,4.95
"Ireland",35604.47,77.48
"Israel",27081.78,68.17
"Italy",26522.75,56.82
"Jamaica",6968.24,31.99
"Japan",30593.47,78.71
"Jordan",5216.84,35.74
"Kazakhstan",11635.57,44.04
"Kenya",1491.88,28
"Kiribati",3036.74,10
"Korea, Rep.",25799.12,81.46
"Kuwait",41127.12,74.2
"Kyrgyzstan",2118.05,19.58
"Laos",2628.01,9
"Latvia",14518.81,72.43
"Lebanon",13684.96,52
"Lesotho",1899.5,4.22
"Liberia",473.33,3
"Libya",4550.15,17
"Liechtenstein",90039.05,85
"Lithuania",17693.41,67.17
"Luxembourg",69929.44,90.7
"Macao, China",68102.18,58
"Macedonia, FYR",8962.53,56.7
"Madagascar",987.71,1.9
"Malawi",856.47,3.33
"Malaysia",13676.03,61
"Maldives",5940.17,34
"Mali",1117.23,2
"Malta",22310.61,69.03
"Mauritania",1827.67,4.5
"Mauritius",12733.02,35.51
"Mexico",11689.3,36.15
"Moldova",2987.72,37.85
"Mongolia",3887.18,20
"Montenegro",10094.77,40
"Morocco",4429,51
"Mozambique",1004.29,4.3
"Myanmar",1590.15,0.98
"Nauru",8051.77,9
"Nepal",1229.1,92.13
"Netherlands Antilles",22338.12,51.17
"New Caledonia",35450.07,86.18
"Nicaragua",2991.22,10.6
"Niger",655.09,1.3
"Nigeria",2400.31,28.43
"Norway",46608.41,93.45
"Oman",25829.16,68
"Pakistan",2639.18,9
"Panama",12516.44,42.7
"Papua New Guinea",2247.2,2
"Paraguay",4611.84,23.9
"Peru",8864.58,36.5
"Philippines",3508.34,29
"Poland",17660.39,65.02
"Portugal",20158.99,55.57
"Puerto Rico",18271.05,48.5
"Qatar",89280.87,86.2
"Romania",11002.84,44.12
"Russia",14869.3,49.31
"Saint Lucia",10653.72,42.01
"Saint Vincent and the Grenadines",6946.79,43.01
"San Marino",33233.4,49.6
"Sao Tome and Principe",1890.43,20.16
"Saudi Arabia",25127.14,47.5
"Senegal",1739.37,17.5
"Serbia",9502.94,47.19
"Seychelles",16965.42,43.61
"Singapore",49587.16,75.06
"Slovak Republic",20382.43,74.87
"Slovenia",24624.3,71.4
"Solomon Islands",1964.07,6
"Somalia",949.76,1.25
"South Africa",9530.26,20.95
"Spain",26860.77,67.92
"Sri Lanka",4903.73,15.13
"Suriname",8711,32
"Swaziland",5115.89,20.43
"Sweden",34326.68,90.88
"Switzerland",37536.64,82.99
"Syria",4520,22.44
"Tajikistan",1854.06,13.03
"Tanzania",1269.58,12
"Thailand",7977.54,23.7
"Timor-Leste",3226.29,0.88
"Togo",949.34,3.5
"Tonga",4885.71,25
"Trinidad and Tobago",17185.79,55.2
"Tunisia",7427.13,38.81
"Turkey",9164.68,42.1
"Turkmenistan",7252.66,5
"Uganda",1260.03,13.01
"Ukraine",6359.65,30.25
"United Arab Emirates",31700.39,70
"United Kingdom",31496.62,81.71
"United States",41678.41,78.24
"Uruguay",12741.79,51.57
"Uzbekistan",2921.07,28.57
"Venezuela",11241.08,40.44
"West Bank and Gaza",4206,56.82
"Vietnam",2961.83,35.45
"Zambia",1480.69,11.5
"Zimbabwe",526.33,15.7
